1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
1	J	73
1	R	73
2	E	73
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	107
4	W	107
5	R	107
4	J	109
4	R	109
5	E	110
4	W	115
0	R	115
4	J	256
4	R	256
4	W	256
0	R	256
4	J	271
4	R	271
4	W	271
0	R	271
4	J	283
4	R	283
4	W	283
0	R	283
4	J	302
4	R	302
4	W	302
0	R	303
4	J	362
4	R	362
6	N	364
6	J	365
4	W	365
6	R	365
4	J	371
4	R	371
6	E	371
7	N	371
7	J	372
4	W	372
7	R	372
4	J	374
4	R	375
7	E	375
4	W	375
0	R	375
4	J	1413
4	R	1413
4	W	1413
0	R	1413
4	J	1432
4	R	1432
4	W	1432
0	R	1432
4	J	1472
4	R	1472
4	W	1472
0	R	1472
4	J	1490
4	R	1490
4	W	1490
0	R	1490
4	J	1503
4	R	1503
4	W	1503
0	R	1503
4	J	1517
4	R	1517
4	W	1517
0	R	1517
4	J	1582
4	R	1582
4	W	1582
0	R	1582
4	J	1594
4	R	1594
4	W	1594
0	R	1594
4	J	1661
4	R	1661
4	W	1661
0	R	1661
4	J	1676
4	R	1676
4	W	1676
0	R	1676
4	J	1713
4	R	1713
4	W	1713
0	R	1713
4	J	1727
4	R	1727
4	W	1727
0	R	1727
4	J	1782
4	R	1782
4	W	1783
0	R	1783
4	J	1796
4	R	1796
4	W	1796
0	R	1796
4	J	1875
4	R	1875
4	W	1875
0	R	1875
4	J	1890
4	R	1890
4	W	1890
0	R	1890
4	J	1942
4	R	1942
4	W	1942
0	R	1942
4	J	1957
4	R	1957
4	W	1957
0	R	1957
4	J	1959
4	R	1959
4	W	1959
0	R	1959
4	J	1976
4	R	1976
4	W	1976
0	R	1976
4	J	2056
4	R	2056
4	W	2056
0	R	2056
4	J	2069
4	R	2069
4	W	2069
0	R	2069
4	J	2099
4	R	2099
4	W	2099
0	R	2099
4	J	2114
4	R	2114
4	W	2114
0	R	2114
4	J	2152
4	R	2153
4	W	2153
0	R	2153
4	J	2164
4	R	2164
4	W	2164
0	R	2164
4	J	2177
4	R	2177
4	W	2177
0	R	2177
4	J	2190
4	R	2190
4	W	2190
0	R	2190
4	J	2378
4	R	2378
4	W	2378
0	R	2378
4	J	2393
4	R	2393
4	W	2393
0	R	2393
4	J	2442
4	R	2442
4	W	2442
0	R	2442
4	J	2453
4	R	2453
4	W	2453
0	R	2453
4	J	2509
4	R	2509
4	W	2509
0	R	2509
4	J	2521
4	R	2522
4	W	2522
0	R	2522
4	J	2531
4	R	2531
4	W	2531
0	R	2531
4	J	2547
4	R	2547
4	W	2547
0	R	2547
4	J	2638
4	R	2638
4	W	2638
0	R	2638
4	J	2651
4	R	2651
4	W	2651
0	R	2651
4	J	2682
4	R	2682
4	W	2682
0	R	2682
4	J	2698
4	R	2698
4	W	2698
0	R	2698
4	J	2739
4	R	2739
4	W	2739
0	R	2739
4	J	2755
4	R	2755
4	W	2755
0	R	2755
4	J	2766
4	R	2766
4	W	2766
0	R	2766
4	J	2778
4	R	2778
4	W	2778
0	R	2778
4	J	2821
4	R	2821
4	W	2821
0	R	2821
4	J	2834
4	R	2834
4	W	2835
0	R	2835
4	J	2904
4	R	2904
4	W	2904
0	R	2904
4	J	2912
4	R	2912
4	W	2912
0	R	2912
4	J	2975
4	R	2975
8	N	2976
8	J	2977
4	W	2977
8	R	2977
9	N	2982
9	J	2982
8	W	2983
9	R	2983
8	J	3033
8	R	3033
9	E	3033
10	N	3034
10	J	3035
8	W	3035
10	R	3035
3	J	3081
10	J	3081
3	R	3081
3	W	3081
10	R	3081
8	J	3130
8	R	3130
10	E	3130
11	N	3131
11	J	3131
8	W	3131
11	R	3131
8	J	3155
8	R	3155
11	E	3155
12	N	3157
12	J	3157
8	W	3158
12	R	3158
8	J	3237
8	R	3237
12	E	3237
4	J	3239
4	R	3239
8	E	3239
13	N	3240
13	J	3240
4	W	3241
13	R	3241
4	J	3243
4	R	3243
13	E	3244
4	W	3244
0	R	3244
4	J	14895
4	R	14895
4	W	14895
0	R	14895
4	J	14909
4	R	14909
4	W	14909
0	R	14909
4	J	14926
4	R	14926
4	W	14926
0	R	14926
4	J	14938
4	R	14938
4	W	14938
0	R	14938
4	J	15010
4	R	15010
4	W	15010
0	R	15010
4	J	15029
4	R	15029
4	W	15029
0	R	15029
4	J	15031
4	R	15031
4	W	15031
0	R	15032
4	J	15051
4	R	15051
4	W	15051
0	R	15051
4	J	15076
4	R	15076
14	N	15078
14	J	15078
4	W	15079
14	R	15079
4	J	15084
4	R	15084
14	E	15084
15	N	15084
15	J	15085
4	W	15085
15	R	15085
4	J	15087
4	R	15088
15	E	15088
4	W	15088
0	R	15089
4	J	15434
4	R	15434
4	W	15434
0	R	15434
4	J	15447
4	R	15447
4	W	15447
0	R	15447
4	J	15537
4	R	15537
16	N	15538
16	J	15539
4	W	15539
16	R	15539
